Subcounty,Wards,Location,Sublocation,"Land size (Sq.km) (KNBS, 2019)","Population (KNBS, 2019)","Population Density (KNBS, 2019)","No.of Households (KNBS, 2019)",Households density,Targeted Households
Kitui Rural Sub-county,Yatta-Kwa Vonza,Yatta,Nyanyaa,32.3,2709,84,694,21.5,25
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ndunguni,Ndunguni,28.7,2179,76,761,26.5,25
Kitui Rural Sub-county,Yatta-Kwa Vonza,Total,Total,61,4888,160,1455,48,50
Kitui Rural Sub-county,Kanyangi,Kanyongonyo,Kanyongonyo,77.7,2902,37,440,5.7,25
Kitui Rural Sub-county,Kanyangi,Mandogoi,Masimba,44.7,2258,51,293,6.6,25
Kitui Rural Sub-county,Kanyangi,Total,Total,122.4,5160,88,733,12.2,50
Kitui West Sub-county,Kauwi,Mutanda,Katutu,64.9,5653,87,1406,21.7,25
Kitui West Sub-county,Kauwi,Kyenge,Mutini,22.7,2403,106,525,23.1,25
Kitui West Sub-county,Kauwi,Total,Total,87.6,8056,193,1931,44.8,50
Kitui West Sub-county,Kwa Mutonga,Kalimani,Mutulu,13.6,6152,451,1370,100.7,25
Kitui West Sub-county,Kwa Mutonga,Kauma,Matinyani,19,7370,388,1875,98.7,25
Kitui West Sub-county,Kwa Mutonga,Total,Total,32.6,13522,839,3245,199.4,50
